date,affiliate_id,affiliate_name,niche,clicks,conversions,conversion_rate,epc,revenue,commission
2026-04-04,aff_001,TechReviewPro,electronics,2111,71,0.0338,0.4751,677.67,54.21
2026-04-04,aff_002,GadgetGuru,electronics,1620,41,0.0259,0.3645,306.11,24.49
2026-04-04,aff_003,HomeEssentials,home,1820,52,0.0291,0.4095,434.07,34.73
2026-04-04,aff_004,FitLifeDeals,fitness,1778,50,0.0285,0.4002,404.95,32.4
2026-04-04,aff_005,BudgetBuyer,general,3283,57,0.0175,0.197,226.57,18.13
2026-04-04,aff_006,PremiumPickz,luxury,1284,87,0.0685,1.2045,2119.56,169.56
2026-04-04,aff_007,EcoFriendlyShop,sustainability,2313,85,0.037,0.5206,891.54,71.32
2026-04-04,aff_008,PetParadise,pets,1669,44,0.0267,0.3756,334.96,26.8
2026-04-05,aff_001,TechReviewPro,electronics,1937,60,0.031,0.4359,523.56,41.88
2026-04-05,aff_002,GadgetGuru,electronics,1618,41,0.0259,0.3641,305.14,24.41
2026-04-05,aff_003,HomeEssentials,home,1774,50,0.0284,0.3994,402.38,32.19
2026-04-05,aff_004,FitLifeDeals,fitness,2004,64,0.0321,0.451,579.63,46.37
2026-04-05,aff_005,BudgetBuyer,general,2431,31,0.013,0.1459,92.01,7.36
2026-04-05,aff_006,PremiumPickz,luxury,1055,59,0.0563,0.9895,1175.23,94.02
2026-04-05,aff_007,EcoFriendlyShop,sustainability,2119,71,0.0339,0.477,685.64,54.85
2026-04-05,aff_008,PetParadise,pets,2035,66,0.0326,0.4581,607.34,48.59
2026-04-06,aff_001,TechReviewPro,electronics,1776,50,0.0284,0.3997,403.49,32.28
2026-04-06,aff_002,GadgetGuru,electronics,2057,67,0.0329,0.463,627.03,50.16
2026-04-06,aff_003,HomeEssentials,home,2247,80,0.036,0.5057,817.24,65.38
2026-04-06,aff_004,FitLifeDeals,fitness,1605,41,0.0257,0.3612,297.76,23.82
2026-04-06,aff_005,BudgetBuyer,general,3366,60,0.018,0.202,244.22,19.54
2026-04-06,aff_006,PremiumPickz,luxury,1295,89,0.0691,1.2142,2172.11,173.77
2026-04-06,aff_007,EcoFriendlyShop,sustainability,1872,56,0.03,0.4212,472.44,37.8
2026-04-06,aff_008,PetParadise,pets,1724,47,0.0276,0.388,369.09,29.53
2026-04-07,aff_001,TechReviewPro,electronics,2365,89,0.0379,0.5323,953.03,76.24
2026-04-07,aff_002,GadgetGuru,electronics,1850,54,0.0296,0.4164,456.16,36.49
2026-04-07,aff_003,HomeEssentials,home,1674,44,0.0268,0.3767,337.83,27.03
2026-04-07,aff_004,FitLifeDeals,fitness,1677,45,0.0268,0.3774,339.72,27.18
2026-04-07,aff_005,BudgetBuyer,general,3416,62,0.0182,0.205,255.26,20.42
2026-04-07,aff_006,PremiumPickz,luxury,1249,83,0.0667,1.1717,1950.9,156.07
2026-04-07,aff_007,EcoFriendlyShop,sustainability,2245,80,0.0359,0.5053,815.18,65.21
2026-04-07,aff_008,PetParadise,pets,2183,76,0.0349,0.4914,749.56,59.96
2026-04-08,aff_001,TechReviewPro,electronics,2028,65,0.0325,0.4565,601.11,48.09
2026-04-08,aff_002,GadgetGuru,electronics,2346,88,0.0375,0.528,930.26,74.42
2026-04-08,aff_003,HomeEssentials,home,1902,57,0.0304,0.4281,495.84,39.67
2026-04-08,aff_004,FitLifeDeals,fitness,2041,66,0.0327,0.4594,612.53,49.0
2026-04-08,aff_005,BudgetBuyer,general,3395,61,0.0181,0.2037,250.48,20.04
2026-04-08,aff_006,PremiumPickz,luxury,1256,84,0.067,1.1783,1984.19,158.74
2026-04-08,aff_007,EcoFriendlyShop,sustainability,2289,83,0.0366,0.5151,863.79,69.1
2026-04-08,aff_008,PetParadise,pets,2061,67,0.033,0.4639,630.87,50.47
2026-04-09,aff_001,TechReviewPro,electronics,2163,74,0.0346,0.4868,729.06,58.32
2026-04-09,aff_002,GadgetGuru,electronics,1609,41,0.0258,0.3621,300.06,24.0
2026-04-09,aff_003,HomeEssentials,home,1782,50,0.0285,0.401,407.58,32.61
2026-04-09,aff_004,FitLifeDeals,fitness,1831,53,0.0293,0.4121,442.22,35.38
2026-04-09,aff_005,BudgetBuyer,general,2495,33,0.0133,0.1497,99.46,7.96
2026-04-09,aff_006,PremiumPickz,luxury,1071,61,0.0572,1.0048,1230.18,98.41
2026-04-09,aff_007,EcoFriendlyShop,sustainability,1680,45,0.0269,0.3782,341.72,27.34
2026-04-09,aff_008,PetParadise,pets,1822,53,0.0292,0.41,435.67,34.85
2026-04-10,aff_001,TechReviewPro,electronics,2108,71,0.0337,0.4744,674.79,53.98
2026-04-10,aff_002,GadgetGuru,electronics,1854,54,0.0297,0.4172,458.85,36.71
2026-04-10,aff_003,HomeEssentials,home,1896,57,0.0303,0.4266,490.81,39.26
2026-04-10,aff_004,FitLifeDeals,fitness,1767,49,0.0283,0.3977,397.5,31.8
2026-04-10,aff_005,BudgetBuyer,general,2720,39,0.0145,0.1632,128.83,10.31
2026-04-10,aff_006,PremiumPickz,luxury,1409,105,0.0752,1.3215,2799.62,223.97
2026-04-10,aff_007,EcoFriendlyShop,sustainability,2118,71,0.0339,0.4766,684.36,54.75
2026-04-10,aff_008,PetParadise,pets,2087,69,0.0334,0.4696,654.68,52.37
2026-04-11,aff_001,TechReviewPro,electronics,1736,48,0.0278,0.3908,377.08,30.17
2026-04-11,aff_002,GadgetGuru,electronics,2132,72,0.0341,0.4798,697.97,55.84
2026-04-11,aff_003,HomeEssentials,home,1730,47,0.0277,0.3894,373.11,29.85
2026-04-11,aff_004,FitLifeDeals,fitness,1903,57,0.0305,0.4283,496.49,39.72
2026-04-11,aff_005,BudgetBuyer,general,3587,68,0.0191,0.2152,295.45,23.64
2026-04-11,aff_006,PremiumPickz,luxury,1267,85,0.0676,1.188,2034.54,162.76
2026-04-11,aff_007,EcoFriendlyShop,sustainability,2045,66,0.0327,0.4603,616.1,49.29
2026-04-11,aff_008,PetParadise,pets,2147,73,0.0344,0.4832,713.03,57.04
2026-04-12,aff_001,TechReviewPro,electronics,2274,82,0.0364,0.5117,846.86,67.75
2026-04-12,aff_002,GadgetGuru,electronics,2161,74,0.0346,0.4864,726.99,58.16
2026-04-12,aff_003,HomeEssentials,home,1783,50,0.0285,0.4012,408.23,32.66
2026-04-12,aff_004,FitLifeDeals,fitness,1625,42,0.026,0.3658,309.21,24.74
2026-04-12,aff_005,BudgetBuyer,general,2778,41,0.0148,0.1667,137.26,10.98
2026-04-12,aff_006,PremiumPickz,luxury,1088,63,0.0581,1.0205,1289.13,103.13
2026-04-12,aff_007,EcoFriendlyShop,sustainability,1768,50,0.0283,0.398,398.26,31.86
2026-04-12,aff_008,PetParadise,pets,2354,88,0.0377,0.5297,939.45,75.16
2026-04-13,aff_001,TechReviewPro,electronics,2301,84,0.0368,0.5177,877.24,70.18
2026-04-13,aff_002,GadgetGuru,electronics,1796,51,0.0287,0.4041,417.2,33.38
2026-04-13,aff_003,HomeEssentials,home,2124,72,0.034,0.478,690.14,55.21
2026-04-13,aff_004,FitLifeDeals,fitness,1916,58,0.0307,0.4312,506.7,40.54
2026-04-13,aff_005,BudgetBuyer,general,3497,65,0.0187,0.2098,273.77,21.9
2026-04-13,aff_006,PremiumPickz,luxury,1180,74,0.0629,1.1065,1643.73,131.5
2026-04-13,aff_007,EcoFriendlyShop,sustainability,1811,52,0.029,0.4077,428.08,34.25
2026-04-13,aff_008,PetParadise,pets,1797,51,0.0288,0.4044,417.95,33.44
2026-04-14,aff_001,TechReviewPro,electronics,2049,67,0.0328,0.461,619.44,49.56
2026-04-14,aff_002,GadgetGuru,electronics,1749,48,0.028,0.3937,385.59,30.85
2026-04-14,aff_003,HomeEssentials,home,2067,68,0.0331,0.4652,636.26,50.9
2026-04-14,aff_004,FitLifeDeals,fitness,2318,85,0.0371,0.5216,896.95,71.76
2026-04-14,aff_005,BudgetBuyer,general,2879,44,0.0154,0.1728,152.75,12.22
2026-04-14,aff_006,PremiumPickz,luxury,1065,60,0.0568,0.9987,1208.57,96.69
2026-04-14,aff_007,EcoFriendlyShop,sustainability,2398,92,0.0384,0.5396,992.87,79.43
2026-04-14,aff_008,PetParadise,pets,2007,64,0.0321,0.4517,582.43,46.59
2026-04-15,aff_001,TechReviewPro,electronics,1672,44,0.0268,0.3764,336.84,26.95
2026-04-15,aff_002,GadgetGuru,electronics,1577,39,0.0252,0.355,282.61,22.61
2026-04-15,aff_003,HomeEssentials,home,1687,45,0.027,0.3797,345.98,27.68
2026-04-15,aff_004,FitLifeDeals,fitness,2101,70,0.0336,0.4729,668.35,53.47
2026-04-15,aff_005,BudgetBuyer,general,3350,59,0.0179,0.201,240.68,19.25
2026-04-15,aff_006,PremiumPickz,luxury,1162,72,0.062,1.09,1570.7,125.66
2026-04-15,aff_007,EcoFriendlyShop,sustainability,1650,43,0.0264,0.3714,323.76,25.9
2026-04-15,aff_008,PetParadise,pets,1905,58,0.0305,0.4287,497.91,39.83
2026-04-16,aff_001,TechReviewPro,electronics,2396,91,0.0384,0.5393,991.1,79.29
2026-04-16,aff_002,GadgetGuru,electronics,1942,60,0.0311,0.437,527.52,42.2
2026-04-16,aff_003,HomeEssentials,home,2376,90,0.038,0.5348,966.47,77.32
2026-04-16,aff_004,FitLifeDeals,fitness,2288,83,0.0366,0.5149,862.85,69.03
2026-04-16,aff_005,BudgetBuyer,general,2413,31,0.0129,0.1448,89.98,7.2
2026-04-16,aff_006,PremiumPickz,luxury,1305,90,0.0697,1.2243,2225.67,178.05
2026-04-16,aff_007,EcoFriendlyShop,sustainability,2145,73,0.0343,0.4827,710.83,56.87
2026-04-16,aff_008,PetParadise,pets,2029,65,0.0325,0.4567,601.76,48.14
