id,channel,title,description,current_value,projected_value,revenue_gain_monthly,revenue_gain_annual,effort,impact,roi_score,priority
aff_epc_aff_005,affiliate,Improve EPC for BudgetBuyer,"BudgetBuyer has EPC $0.18 vs portfolio avg. Recommend better creatives, landing pages, or product selection.",0.18249444444444443,0.35,10720.58,128646.95999999999,MEDIUM,HIGH,106.85,critical
aff_under_aff_005,affiliate,Monetize high-traffic affiliate BudgetBuyer,BudgetBuyer drives significant traffic but underperforms on revenue.,16825.2,59979.73375,4388.22,52658.64,MEDIUM,VERY_HIGH,58.32,critical
aff_conv_aff_005,affiliate,Boost conversion rate for BudgetBuyer,BudgetBuyer converts at 1.6%. Optimize funnel to reach 3% target.,0.016219999999999995,0.03,4588.69,55064.28,HIGH,HIGH,34.33,high
cnt_refresh_pg_007,content,Refresh stale content: Old Product Roundup,Review content has declining traffic. Update with current info and new products.,528.7800000000001,1873.8045000000002,1345.02,16140.24,LOW,MEDIUM,13.38,medium
email_unsub_list_001,email,Reduce unsubscribe rate: Weekly Deals,Unsubscribe rate 0.31% is high. List churn reduces long-term revenue potential.,0.00314111111111111,0.002,706.75,8481.0,LOW,MEDIUM,7.03,medium
seo_page2_vpn_comparison,seo,Push 'vpn comparison' from page 2 to page 1,"Currently averaging position 12. Volume: 22,000/mo. High opportunity to reach page 1.",12.011111111111111,8.0,511.5,6138.0,MEDIUM,HIGH,5.1,medium
comp_weak_comp_002,competitor,Exploit TopPickDaily's weak rankings,TopPickDaily averages position 13. Target their weak keywords to capture market share.,0,12687.992222222223,253.76,3045.12,MEDIUM,HIGH,2.53,low
comp_weak_comp_003,competitor,Exploit DealHunterPro's weak rankings,DealHunterPro averages position 12. Target their weak keywords to capture market share.,0,12213.236666666668,244.26,2931.12,MEDIUM,HIGH,2.43,low
comp_weak_comp_001,competitor,Exploit RivalReviews's weak rankings,RivalReviews averages position 13. Target their weak keywords to capture market share.,0,12142.286666666667,242.85,2914.2,MEDIUM,HIGH,2.42,low
seo_highcpc_vpn_comparison,seo,Target high-CPC keyword 'vpn comparison',"CPC $3.10, position 12. Ranking improvements yield high revenue per visitor.",12.011111111111111,3.0,204.6,2455.2,HIGH,VERY_HIGH,2.04,low
seo_ctr_seo_tools_2026,seo,Improve CTR for 'seo tools 2026',"High impressions (23,724) but low CTR (1.0%). Optimize titles and meta descriptions.",0.009863429438543247,0.04,150.14,1801.6799999999998,LOW,MEDIUM,1.49,low
seo_highcpc_seo_tools_2026,seo,Target high-CPC keyword 'seo tools 2026',"CPC $4.20, position 25. Ranking improvements yield high revenue per visitor.",25.08888888888889,3.0,100.8,1209.6,HIGH,VERY_HIGH,1.01,low
comp_bl_comp_002,competitor,Close backlink gap with TopPickDaily,"TopPickDaily has 17,482 backlinks. Targeted link building can capture their ranking share.",0,5244.48,126.88,1522.56,HIGH,HIGH,0.95,low
comp_bl_comp_001,competitor,Close backlink gap with RivalReviews,"RivalReviews has 16,979 backlinks. Targeted link building can capture their ranking share.",0,5093.6033333333335,121.42,1457.04,HIGH,HIGH,0.91,low
comp_bl_comp_003,competitor,Close backlink gap with DealHunterPro,"DealHunterPro has 18,034 backlinks. Targeted link building can capture their ranking share.",0,5410.09,122.13,1465.56,HIGH,HIGH,0.91,low
seo_page2_remote_work_accessories,seo,Push 'remote work accessories' from page 2 to page 1,"Currently averaging position 18. Volume: 6,000/mo. High opportunity to reach page 1.",18.07777777777778,8.0,85.5,1026.0,MEDIUM,HIGH,0.85,low
seo_page2_home_office_setup,seo,Push 'home office setup' from page 2 to page 1,"Currently averaging position 15. Volume: 7,500/mo. High opportunity to reach page 1.",15.077777777777778,8.0,84.38,1012.56,MEDIUM,HIGH,0.84,low
seo_ctr_remote_work_accessories,seo,Improve CTR for 'remote work accessories',"High impressions (18,031) but low CTR (1.4%). Optimize titles and meta descriptions.",0.014364150629471465,0.04,43.91,526.92,LOW,MEDIUM,0.44,low
seo_ctr_home_office_setup,seo,Improve CTR for 'home office setup',"High impressions (22,510) but low CTR (1.8%). Optimize titles and meta descriptions.",0.01830297645490893,0.04,36.63,439.56000000000006,LOW,MEDIUM,0.36,low
comp_content_comp_002,competitor,Close content gap with TopPickDaily,TopPickDaily has 513 content pieces. Identify topics they cover that you don't.,0,102.65555555555557,63.44,761.28,VERY_HIGH,MEDIUM,0.25,low
