date,page_id,page_title,content_type,sessions,bounce_rate,avg_time_min,monetized,revenue
2026-04-04,pg_001,Best Laptops 2026,review,603,0.685,4.3,True,173.48
2026-04-04,pg_002,How to Start a Blog,howto,519,0.569,2.1,True,124.08
2026-04-04,pg_003,Top 10 VPN Services,review,785,0.561,4.7,True,154.12
2026-04-04,pg_004,Budget Meal Planning,guide,432,0.497,1.4,False,0
2026-04-04,pg_005,Remote Work Setup Guide,guide,359,0.568,4.4,False,0
2026-04-04,pg_006,SEO Basics 2026,howto,446,0.415,4.8,False,0
2026-04-04,pg_007,Old Product Roundup,review,46,0.482,2.3,True,13.46
2026-04-04,pg_008,Fitness Tracker Comparison,review,754,0.506,5.0,True,139.98
2026-04-05,pg_001,Best Laptops 2026,review,758,0.375,2.4,True,156.41
2026-04-05,pg_002,How to Start a Blog,howto,462,0.381,3.2,False,0
2026-04-05,pg_003,Top 10 VPN Services,review,770,0.579,1.5,False,0
2026-04-05,pg_004,Budget Meal Planning,guide,426,0.396,1.6,False,0
2026-04-05,pg_005,Remote Work Setup Guide,guide,412,0.337,5.0,False,0
2026-04-05,pg_006,SEO Basics 2026,howto,390,0.347,4.3,False,0
2026-04-05,pg_007,Old Product Roundup,review,50,0.504,2.1,False,0
2026-04-05,pg_008,Fitness Tracker Comparison,review,1030,0.397,3.2,True,288.88
2026-04-06,pg_001,Best Laptops 2026,review,803,0.652,4.5,True,198.74
2026-04-06,pg_002,How to Start a Blog,howto,379,0.674,3.0,False,0
2026-04-06,pg_003,Top 10 VPN Services,review,695,0.419,3.3,False,0
2026-04-06,pg_004,Budget Meal Planning,guide,397,0.359,3.2,False,0
2026-04-06,pg_005,Remote Work Setup Guide,guide,412,0.517,2.8,False,0
2026-04-06,pg_006,SEO Basics 2026,howto,325,0.579,3.3,True,79.26
2026-04-06,pg_007,Old Product Roundup,review,32,0.598,3.8,False,0
2026-04-06,pg_008,Fitness Tracker Comparison,review,745,0.565,4.3,False,0
2026-04-07,pg_001,Best Laptops 2026,review,797,0.315,3.0,True,213.14
2026-04-07,pg_002,How to Start a Blog,howto,489,0.476,3.1,False,0
2026-04-07,pg_003,Top 10 VPN Services,review,906,0.464,3.6,True,151.64
2026-04-07,pg_004,Budget Meal Planning,guide,512,0.435,3.8,False,0
2026-04-07,pg_005,Remote Work Setup Guide,guide,484,0.641,4.4,False,0
2026-04-07,pg_006,SEO Basics 2026,howto,355,0.587,4.0,False,0
2026-04-07,pg_007,Old Product Roundup,review,32,0.327,3.5,False,0
2026-04-07,pg_008,Fitness Tracker Comparison,review,1038,0.599,2.7,True,216.36
2026-04-08,pg_001,Best Laptops 2026,review,978,0.477,3.8,False,0
2026-04-08,pg_002,How to Start a Blog,howto,291,0.618,2.2,False,0
2026-04-08,pg_003,Top 10 VPN Services,review,629,0.512,3.3,True,58.18
2026-04-08,pg_004,Budget Meal Planning,guide,298,0.648,3.5,True,82.91
2026-04-08,pg_005,Remote Work Setup Guide,guide,314,0.484,2.0,True,16.44
2026-04-08,pg_006,SEO Basics 2026,howto,473,0.66,3.7,True,75.88
2026-04-08,pg_007,Old Product Roundup,review,40,0.535,3.6,True,4.5
2026-04-08,pg_008,Fitness Tracker Comparison,review,965,0.38,2.5,True,105.48
2026-04-09,pg_001,Best Laptops 2026,review,834,0.53,5.0,True,245.6
2026-04-09,pg_002,How to Start a Blog,howto,437,0.41,3.3,False,0
2026-04-09,pg_003,Top 10 VPN Services,review,917,0.32,3.4,True,253.13
2026-04-09,pg_004,Budget Meal Planning,guide,348,0.62,3.4,False,0
2026-04-09,pg_005,Remote Work Setup Guide,guide,432,0.548,3.7,False,0
2026-04-09,pg_006,SEO Basics 2026,howto,438,0.635,3.5,False,0
2026-04-09,pg_007,Old Product Roundup,review,48,0.424,2.8,True,11.19
2026-04-09,pg_008,Fitness Tracker Comparison,review,603,0.418,4.0,True,50.07
2026-04-10,pg_001,Best Laptops 2026,review,818,0.689,3.1,False,0
2026-04-10,pg_002,How to Start a Blog,howto,479,0.403,4.3,False,0
2026-04-10,pg_003,Top 10 VPN Services,review,947,0.599,2.4,True,275.31
2026-04-10,pg_004,Budget Meal Planning,guide,313,0.687,4.4,False,0
2026-04-10,pg_005,Remote Work Setup Guide,guide,515,0.687,4.2,False,0
2026-04-10,pg_006,SEO Basics 2026,howto,469,0.306,3.1,False,0
2026-04-10,pg_007,Old Product Roundup,review,49,0.569,3.3,False,0
2026-04-10,pg_008,Fitness Tracker Comparison,review,1011,0.343,1.9,True,274.04
2026-04-11,pg_001,Best Laptops 2026,review,829,0.666,1.9,True,212.19
2026-04-11,pg_002,How to Start a Blog,howto,498,0.421,2.6,True,142.71
2026-04-11,pg_003,Top 10 VPN Services,review,706,0.497,1.4,False,0
2026-04-11,pg_004,Budget Meal Planning,guide,312,0.481,3.7,False,0
2026-04-11,pg_005,Remote Work Setup Guide,guide,507,0.468,4.0,True,77.94
2026-04-11,pg_006,SEO Basics 2026,howto,303,0.496,2.6,False,0
2026-04-11,pg_007,Old Product Roundup,review,32,0.448,2.8,False,0
2026-04-11,pg_008,Fitness Tracker Comparison,review,970,0.34,3.7,True,285.63
2026-04-12,pg_001,Best Laptops 2026,review,732,0.459,1.8,True,191.79
2026-04-12,pg_002,How to Start a Blog,howto,389,0.565,3.6,False,0
2026-04-12,pg_003,Top 10 VPN Services,review,570,0.615,2.0,True,108.95
2026-04-12,pg_004,Budget Meal Planning,guide,296,0.606,1.8,True,79.16
2026-04-12,pg_005,Remote Work Setup Guide,guide,358,0.359,4.6,True,94.73
2026-04-12,pg_006,SEO Basics 2026,howto,314,0.352,2.0,True,67.59
2026-04-12,pg_007,Old Product Roundup,review,32,0.306,4.2,True,4.19
2026-04-12,pg_008,Fitness Tracker Comparison,review,643,0.321,4.0,True,152.02
2026-04-13,pg_001,Best Laptops 2026,review,788,0.611,3.1,True,138.66
2026-04-13,pg_002,How to Start a Blog,howto,506,0.317,4.1,False,0
2026-04-13,pg_003,Top 10 VPN Services,review,810,0.483,4.9,True,137.49
2026-04-13,pg_004,Budget Meal Planning,guide,376,0.574,3.0,False,0
2026-04-13,pg_005,Remote Work Setup Guide,guide,297,0.332,3.4,True,35.27
2026-04-13,pg_006,SEO Basics 2026,howto,431,0.519,2.3,False,0
2026-04-13,pg_007,Old Product Roundup,review,45,0.481,3.4,True,10.15
2026-04-13,pg_008,Fitness Tracker Comparison,review,969,0.56,4.1,True,100.54
2026-04-14,pg_001,Best Laptops 2026,review,776,0.391,2.4,True,119.5
2026-04-14,pg_002,How to Start a Blog,howto,302,0.471,3.7,False,0
2026-04-14,pg_003,Top 10 VPN Services,review,633,0.669,1.3,False,0
2026-04-14,pg_004,Budget Meal Planning,guide,302,0.339,4.0,False,0
2026-04-14,pg_005,Remote Work Setup Guide,guide,413,0.535,3.2,False,0
2026-04-14,pg_006,SEO Basics 2026,howto,309,0.441,3.7,False,0
2026-04-14,pg_007,Old Product Roundup,review,54,0.588,4.9,True,7.45
2026-04-14,pg_008,Fitness Tracker Comparison,review,837,0.385,3.6,True,64.49
2026-04-15,pg_001,Best Laptops 2026,review,965,0.447,4.1,True,242.99
2026-04-15,pg_002,How to Start a Blog,howto,482,0.69,4.3,False,0
2026-04-15,pg_003,Top 10 VPN Services,review,868,0.311,4.7,False,0
2026-04-15,pg_004,Budget Meal Planning,guide,344,0.372,3.8,False,0
2026-04-15,pg_005,Remote Work Setup Guide,guide,361,0.302,4.5,False,0
2026-04-15,pg_006,SEO Basics 2026,howto,376,0.357,3.5,True,88.93
2026-04-15,pg_007,Old Product Roundup,review,37,0.468,2.4,True,8.52
2026-04-15,pg_008,Fitness Tracker Comparison,review,932,0.527,1.3,True,83.28
2026-04-16,pg_001,Best Laptops 2026,review,856,0.57,2.1,True,146.73
2026-04-16,pg_002,How to Start a Blog,howto,386,0.409,4.0,True,60.79
2026-04-16,pg_003,Top 10 VPN Services,review,695,0.571,2.9,True,42.64
2026-04-16,pg_004,Budget Meal Planning,guide,374,0.54,1.0,False,0
2026-04-16,pg_005,Remote Work Setup Guide,guide,330,0.355,2.0,False,0
2026-04-16,pg_006,SEO Basics 2026,howto,281,0.599,1.7,False,0
2026-04-16,pg_007,Old Product Roundup,review,50,0.5,4.3,False,0
2026-04-16,pg_008,Fitness Tracker Comparison,review,594,0.645,1.2,True,166.49
2026-04-17,pg_001,Best Laptops 2026,review,973,0.53,3.3,True,150.25
2026-04-17,pg_002,How to Start a Blog,howto,307,0.308,2.3,False,0
2026-04-17,pg_003,Top 10 VPN Services,review,856,0.633,4.7,True,223.52
2026-04-17,pg_004,Budget Meal Planning,guide,338,0.536,3.1,False,0
2026-04-17,pg_005,Remote Work Setup Guide,guide,354,0.436,2.3,True,62.88
2026-04-17,pg_006,SEO Basics 2026,howto,307,0.504,4.6,False,0
2026-04-17,pg_007,Old Product Roundup,review,51,0.628,4.3,True,4.42
2026-04-17,pg_008,Fitness Tracker Comparison,review,654,0.541,4.0,True,61.66
2026-04-18,pg_001,Best Laptops 2026,review,930,0.498,4.0,True,150.87
2026-04-18,pg_002,How to Start a Blog,howto,501,0.526,3.5,False,0
2026-04-18,pg_003,Top 10 VPN Services,review,974,0.551,1.6,True,156.38
2026-04-18,pg_004,Budget Meal Planning,guide,352,0.41,1.2,False,0
2026-04-18,pg_005,Remote Work Setup Guide,guide,354,0.481,1.2,False,0
2026-04-18,pg_006,SEO Basics 2026,howto,298,0.646,4.4,False,0
2026-04-18,pg_007,Old Product Roundup,review,45,0.485,3.2,True,12.33
2026-04-18,pg_008,Fitness Tracker Comparison,review,775,0.624,3.6,True,130.9
2026-04-19,pg_001,Best Laptops 2026,review,632,0.325,1.4,False,0
2026-04-19,pg_002,How to Start a Blog,howto,362,0.586,3.0,True,40.52
2026-04-19,pg_003,Top 10 VPN Services,review,770,0.476,3.1,True,110.27
2026-04-19,pg_004,Budget Meal Planning,guide,347,0.464,2.4,False,0
2026-04-19,pg_005,Remote Work Setup Guide,guide,469,0.559,1.3,True,102.99
2026-04-19,pg_006,SEO Basics 2026,howto,348,0.589,3.6,False,0
2026-04-19,pg_007,Old Product Roundup,review,55,0.433,3.3,True,7.56
2026-04-19,pg_008,Fitness Tracker Comparison,review,1024,0.579,2.6,True,291.33
2026-04-20,pg_001,Best Laptops 2026,review,708,0.451,4.2,False,0
2026-04-20,pg_002,How to Start a Blog,howto,440,0.632,4.0,False,0
2026-04-20,pg_003,Top 10 VPN Services,review,812,0.558,2.7,True,114.21
2026-04-20,pg_004,Budget Meal Planning,guide,323,0.386,4.8,False,0
2026-04-20,pg_005,Remote Work Setup Guide,guide,334,0.355,1.3,False,0
2026-04-20,pg_006,SEO Basics 2026,howto,304,0.608,4.3,False,0
2026-04-20,pg_007,Old Product Roundup,review,32,0.435,4.1,True,4.61
2026-04-20,pg_008,Fitness Tracker Comparison,review,637,0.633,4.1,False,0
2026-04-21,pg_001,Best Laptops 2026,review,639,0.475,2.6,True,69.9
2026-04-21,pg_002,How to Start a Blog,howto,386,0.414,4.0,False,0
2026-04-21,pg_003,Top 10 VPN Services,review,816,0.424,4.2,True,211.16
2026-04-21,pg_004,Budget Meal Planning,guide,368,0.679,4.9,False,0
2026-04-21,pg_005,Remote Work Setup Guide,guide,347,0.453,3.1,False,0
2026-04-21,pg_006,SEO Basics 2026,howto,476,0.621,1.6,True,100.1
2026-04-21,pg_007,Old Product Roundup,review,55,0.522,1.4,False,0
2026-04-21,pg_008,Fitness Tracker Comparison,review,968,0.414,4.1,True,267.48
2026-04-22,pg_001,Best Laptops 2026,review,630,0.475,4.8,True,102.55
2026-04-22,pg_002,How to Start a Blog,howto,363,0.311,1.2,False,0
2026-04-22,pg_003,Top 10 VPN Services,review,673,0.698,2.5,True,190.26
2026-04-22,pg_004,Budget Meal Planning,guide,481,0.56,4.2,True,58.55
2026-04-22,pg_005,Remote Work Setup Guide,guide,479,0.578,1.6,False,0
2026-04-22,pg_006,SEO Basics 2026,howto,387,0.302,1.3,True,100.13
2026-04-22,pg_007,Old Product Roundup,review,46,0.591,3.1,True,5.61
2026-04-22,pg_008,Fitness Tracker Comparison,review,704,0.319,2.7,True,115.65
2026-04-23,pg_001,Best Laptops 2026,review,613,0.662,3.4,True,109.63
2026-04-23,pg_002,How to Start a Blog,howto,338,0.357,2.7,False,0
2026-04-23,pg_003,Top 10 VPN Services,review,675,0.467,3.7,True,198.22
2026-04-23,pg_004,Budget Meal Planning,guide,296,0.51,3.0,False,0
2026-04-23,pg_005,Remote Work Setup Guide,guide,412,0.456,2.9,False,0
2026-04-23,pg_006,SEO Basics 2026,howto,515,0.401,1.1,False,0
2026-04-23,pg_007,Old Product Roundup,review,40,0.593,3.5,True,9.35
2026-04-23,pg_008,Fitness Tracker Comparison,review,719,0.318,3.2,False,0
2026-04-24,pg_001,Best Laptops 2026,review,644,0.612,2.9,True,133.91
2026-04-24,pg_002,How to Start a Blog,howto,474,0.325,4.1,False,0
2026-04-24,pg_003,Top 10 VPN Services,review,700,0.318,1.8,True,198.34
2026-04-24,pg_004,Budget Meal Planning,guide,403,0.696,3.2,True,96.04
2026-04-24,pg_005,Remote Work Setup Guide,guide,325,0.443,4.1,False,0
2026-04-24,pg_006,SEO Basics 2026,howto,359,0.35,2.5,False,0
2026-04-24,pg_007,Old Product Roundup,review,51,0.658,2.5,False,0
2026-04-24,pg_008,Fitness Tracker Comparison,review,798,0.499,4.7,True,199.73
2026-04-25,pg_001,Best Laptops 2026,review,908,0.332,3.4,False,0
2026-04-25,pg_002,How to Start a Blog,howto,410,0.428,1.3,False,0
2026-04-25,pg_003,Top 10 VPN Services,review,707,0.541,2.7,True,97.49
2026-04-25,pg_004,Budget Meal Planning,guide,290,0.648,2.4,False,0
2026-04-25,pg_005,Remote Work Setup Guide,guide,345,0.692,4.8,True,72.24
2026-04-25,pg_006,SEO Basics 2026,howto,367,0.62,3.7,False,0
2026-04-25,pg_007,Old Product Roundup,review,35,0.543,4.1,True,2.34
2026-04-25,pg_008,Fitness Tracker Comparison,review,933,0.447,2.5,True,187.79
2026-04-26,pg_001,Best Laptops 2026,review,885,0.68,2.5,True,171.23
2026-04-26,pg_002,How to Start a Blog,howto,407,0.459,3.6,True,31.89
2026-04-26,pg_003,Top 10 VPN Services,review,913,0.5,2.5,True,105.4
2026-04-26,pg_004,Budget Meal Planning,guide,342,0.479,5.0,True,95.46
2026-04-26,pg_005,Remote Work Setup Guide,guide,397,0.349,4.4,False,0
2026-04-26,pg_006,SEO Basics 2026,howto,495,0.478,1.4,False,0
2026-04-26,pg_007,Old Product Roundup,review,54,0.428,2.4,True,10.02
2026-04-26,pg_008,Fitness Tracker Comparison,review,987,0.641,3.8,False,0
2026-04-27,pg_001,Best Laptops 2026,review,866,0.617,3.0,True,86.81
2026-04-27,pg_002,How to Start a Blog,howto,313,0.616,1.1,False,0
2026-04-27,pg_003,Top 10 VPN Services,review,737,0.621,3.2,True,52.74
2026-04-27,pg_004,Budget Meal Planning,guide,354,0.7,3.9,False,0
2026-04-27,pg_005,Remote Work Setup Guide,guide,464,0.629,1.3,False,0
2026-04-27,pg_006,SEO Basics 2026,howto,434,0.48,3.7,False,0
2026-04-27,pg_007,Old Product Roundup,review,55,0.612,3.6,True,16.04
2026-04-27,pg_008,Fitness Tracker Comparison,review,767,0.664,1.2,True,67.69
2026-04-28,pg_001,Best Laptops 2026,review,639,0.429,3.8,True,182.26
2026-04-28,pg_002,How to Start a Blog,howto,494,0.638,2.0,False,0
2026-04-28,pg_003,Top 10 VPN Services,review,824,0.35,2.2,True,144.73
2026-04-28,pg_004,Budget Meal Planning,guide,320,0.677,1.6,False,0
2026-04-28,pg_005,Remote Work Setup Guide,guide,452,0.542,4.4,False,0
2026-04-28,pg_006,SEO Basics 2026,howto,478,0.311,1.2,False,0
2026-04-28,pg_007,Old Product Roundup,review,47,0.56,4.1,True,9.86
2026-04-28,pg_008,Fitness Tracker Comparison,review,799,0.551,2.2,False,0
2026-04-29,pg_001,Best Laptops 2026,review,791,0.622,3.7,True,53.98
2026-04-29,pg_002,How to Start a Blog,howto,294,0.476,2.9,True,59.29
2026-04-29,pg_003,Top 10 VPN Services,review,710,0.587,3.9,False,0
2026-04-29,pg_004,Budget Meal Planning,guide,514,0.352,2.5,False,0
2026-04-29,pg_005,Remote Work Setup Guide,guide,356,0.487,2.1,True,26.42
2026-04-29,pg_006,SEO Basics 2026,howto,349,0.454,3.5,True,92.95
2026-04-29,pg_007,Old Product Roundup,review,35,0.431,3.3,True,8.43
2026-04-29,pg_008,Fitness Tracker Comparison,review,799,0.506,3.0,True,44.58
2026-04-30,pg_001,Best Laptops 2026,review,1013,0.502,4.9,True,140.02
2026-04-30,pg_002,How to Start a Blog,howto,292,0.498,4.5,False,0
2026-04-30,pg_003,Top 10 VPN Services,review,785,0.515,4.4,True,212.43
2026-04-30,pg_004,Budget Meal Planning,guide,454,0.606,2.5,False,0
2026-04-30,pg_005,Remote Work Setup Guide,guide,416,0.378,3.2,True,73.24
2026-04-30,pg_006,SEO Basics 2026,howto,463,0.412,5.0,False,0
2026-04-30,pg_007,Old Product Roundup,review,34,0.69,2.6,True,4.58
2026-04-30,pg_008,Fitness Tracker Comparison,review,1010,0.602,1.8,True,176.77
2026-05-01,pg_001,Best Laptops 2026,review,581,0.355,2.3,True,95.43
2026-05-01,pg_002,How to Start a Blog,howto,425,0.506,2.3,False,0
2026-05-01,pg_003,Top 10 VPN Services,review,638,0.696,4.0,True,85.55
2026-05-01,pg_004,Budget Meal Planning,guide,478,0.513,3.8,True,121.38
2026-05-01,pg_005,Remote Work Setup Guide,guide,368,0.57,4.9,False,0
2026-05-01,pg_006,SEO Basics 2026,howto,471,0.59,3.8,True,79.43
2026-05-01,pg_007,Old Product Roundup,review,57,0.613,4.1,True,13.13
2026-05-01,pg_008,Fitness Tracker Comparison,review,840,0.368,3.5,True,218.65
2026-05-02,pg_001,Best Laptops 2026,review,630,0.572,1.1,False,0
2026-05-02,pg_002,How to Start a Blog,howto,306,0.308,2.3,True,68.12
2026-05-02,pg_003,Top 10 VPN Services,review,756,0.61,4.7,False,0
